1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.398450	0.000000	948.426031	0.001945	51.1
1	-0.392678	0.000000	948.426031	0.002334	5.8
2	-0.362783	0.000000	948.426031	0.001900	5.8
3	-0.366848	0.000000	948.426031	0.002247	4.7
4	-0.378304	0.000000	948.426031	0.002311	4.7
5	-0.434685	0.000000	948.426031	0.001928	4.4
6	-0.404671	0.000000	948.426031	0.002691	4.6
7	-0.396894	0.000000	948.426031	0.001842	4.5
8	-0.392382	0.999990	905.316167	0.002132	4.4
9	-0.347842	0.570210	923.354319	0.001522	4.9
10	-0.391662	0.140430	942.125893	0.002192	4.9
11	-0.367128	0.000000	948.426031	0.001923	4.3
12	-0.380607	0.000000	948.426031	0.002385	4.3
13	-0.405866	0.000000	948.426031	0.001585	4.5
14	-0.406800	0.000000	948.426031	0.001846	4.8
15	-0.391420	0.000000	948.426031	0.002037	4.6
16	-0.395167	0.000000	948.426031	0.002064	4.7
17	-0.409689	0.000000	948.426031	0.001704	4.7
18	-0.400003	0.000000	948.426031	0.002409	4.5
19	-0.421305	0.000000	948.426031	0.002395	4.5
20	-0.404286	0.000000	948.426031	0.001876	4.5
21	-0.427777	0.000000	948.426031	0.002137	4.2
22	-0.409267	0.000000	948.426031	0.002702	4.3
23	-0.437045	0.000000	948.426031	0.001831	4.7
24	-0.405362	0.999734	905.326691	0.002619	4.8
25	-0.396999	1.426049	888.116619	0.001973	4.5
26	-0.433662	0.996269	905.469312	0.001512	4.3
27	-0.438686	0.566489	923.513627	0.001515	4.4
28	-0.421560	0.185328	940.129255	0.001889	4.4
29	-0.453388	0.000000	948.426031	0.002149	4.7
30	-0.428242	0.995780	905.489442	0.002238	4.8
31	-0.450135	0.604900	921.871739	0.001774	4.4
32	-0.430403	0.187688	940.024532	0.002969	4.4
33	-0.416611	0.000000	948.426031	0.002396	5.7
34	-0.461209	0.000000	948.426031	0.001737	5.8
35	-0.420034	0.000000	948.426031	0.001845	5.7
36	-0.414588	0.000000	948.426031	0.001538	4.7
37	-0.439367	0.000000	948.426031	0.002446	4.8
38	-0.439792	0.000000	948.426031	0.001866	6.7
39	-0.409907	0.000000	948.426031	0.001945	5.1
40	-0.465819	0.000000	948.426031	0.001566	4.4
41	-0.424737	0.000000	948.426031	0.003038	5.1
42	-0.464918	0.000000	948.426031	0.001558	5.6
43	-0.439853	0.000000	948.426031	0.001651	4.3
44	-0.448010	0.000000	948.426031	0.002456	4.1
45	-0.454468	0.000000	948.426031	0.002702	4.4
46	-0.442517	0.000000	948.426031	0.002375	5.9
47	-0.434701	0.000000	948.426031	0.001953	4.8
48	-0.455507	0.000000	948.426031	0.002216	5.0
49	-0.439906	0.000000	948.426031	0.001748	6.4
50	-0.481051	0.000000	948.426031	0.002022	4.4
51	-0.455900	0.000000	948.426031	0.001871	4.0
52	-0.461882	0.000000	948.426031	0.001921	4.3
53	-0.461436	0.000000	948.426031	0.002059	6.2
54	-0.442485	0.000000	948.426031	0.002462	4.6
55	-0.459752	0.000000	948.426031	0.002311	4.9
56	-0.452830	0.000000	948.426031	0.001597	4.7
57	-0.461540	0.000000	948.426031	0.001708	6.5
58	-0.475333	0.000000	948.426031	0.002410	6.1
59	-0.503344	0.000000	948.426031	0.002042	5.0
60	-0.494779	0.000000	948.426031	0.002130	4.9
61	-0.481150	0.000000	948.426031	0.002340	5.3
62	-0.493750	0.000000	948.426031	0.001716	4.3
63	-0.481901	0.000000	948.426031	0.001714	4.0
64	-0.439420	0.000000	948.426031	0.002180	4.8
65	-0.491458	0.000000	948.426031	0.002417	6.6
66	-0.506468	0.000000	948.426031	0.001908	5.4
67	-0.482159	0.000000	948.426031	0.002220	6.2
68	-0.509484	0.000000	948.426031	0.001639	7.7
69	-0.495895	0.000000	948.426031	0.001935	4.4
70	-0.500444	0.000000	948.426031	0.001707	4.0
71	-0.478996	0.000000	948.426031	0.001816	5.2
72	-0.493991	0.000000	948.426031	0.002081	5.1
73	-0.481668	0.000000	948.426031	0.001972	3.9
74	-0.467109	0.000000	948.426031	0.001425	5.5
75	-0.519506	1.000000	905.315758	0.001629	9.3
76	-0.455567	0.570456	923.343800	0.001707	6.4
77	-0.488714	0.140684	942.114565	0.001518	4.2
78	-0.505791	0.000000	948.426031	0.001634	6.3
79	-0.494126	0.000000	948.426031	0.001816	5.5
80	-0.479665	0.000000	948.426031	0.001480	4.0
81	-0.519342	0.000000	948.426031	0.001416	4.0
82	-0.510604	0.000000	948.426031	0.002112	6.7
83	-0.522248	0.000000	948.426031	0.001994	6.6
84	-0.503283	0.000000	948.426031	0.001834	4.7
85	-0.476570	0.160887	941.215131	0.001822	6.5
86	-0.508977	0.000000	948.426031	0.002359	4.3
87	-0.494474	0.000000	948.426031	0.002040	3.9
88	-0.490672	0.999635	905.330783	0.002155	3.9
89	-0.493661	0.569855	923.369523	0.001990	5.4
90	-0.492428	0.140797	942.109552	0.001994	4.7
91	-0.463219	0.000000	948.426031	0.001624	4.8
92	-0.495199	0.000000	948.426031	0.002297	6.1
93	-0.495271	0.000000	948.426031	0.001737	6.6
94	-0.500109	0.000000	948.426031	0.001838	4.4
95	-0.494933	1.000000	905.315757	0.001601	5.3
96	-0.471259	0.570259	923.352223	0.002193	4.4
97	-0.482623	0.140479	942.123712	0.001464	5.4
98	-0.513547	0.000000	948.426031	0.002033	4.3
99	-0.493392	0.000000	948.426031	0.001724	3.8
100	-0.534399	0.999735	905.326673	0.002524	3.9
101	-0.516267	1.995995	866.105004	0.001496	6.1
102	-0.504045	2.483482	848.125791	0.001666	5.7
103	-0.511419	2.053721	863.936327	0.002303	5.4
104	-0.522906	2.661886	841.731148	0.001787	5.8
105	-0.486999	2.232643	857.282867	0.002068	5.3
106	-0.525908	3.229508	822.012009	0.002017	4.1
107	-0.512742	2.799728	836.856055	0.002105	3.8
108	-0.474603	3.799171	803.129533	0.001626	5.4
109	-0.550594	3.369405	817.293088	0.002405	4.5
110	-0.506012	4.369395	785.077707	0.001805	4.9
111	-0.552683	5.369370	755.306138	0.002394	5.5
112	-0.521976	6.368239	727.739442	0.002356	6.2
113	-0.514605	7.368239	702.086125	0.001613	7.4
114	-0.513265	7.865603	689.988930	0.002294	4.7
115	-0.549474	7.435823	700.417445	0.001506	5.3
116	-0.509562	7.006043	711.166030	0.002157	4.4
117	-0.509567	6.576680	722.238745	0.002223	3.9
118	-0.533267	7.576679	696.965066	0.002762	3.9
119	-0.538551	8.576679	673.400383	0.001919	4.1
120	-0.516742	8.146899	683.329877	0.001844	14.9
121	-0.568965	9.146899	660.663205	0.001432	4.5
122	-0.485012	10.146879	639.452407	0.001769	5.9
123	-0.498504	9.717121	648.398868	0.002194	4.9
124	-0.545868	9.313203	657.038668	0.002433	4.6
125	-0.518818	8.883423	666.488122	0.001124	4.6
126	-0.511676	8.453643	676.213344	0.002344	5.6
127	-0.513810	8.106898	684.268957	0.001974	4.7
128	-0.529258	7.730393	693.236137	0.002119	5.4
129	-0.483546	8.730393	669.918715	0.001591	5.8
130	-0.533407	9.730393	648.118841	0.001845	5.1
131	-0.555430	9.555929	651.819381	0.001779	4.5
132	-0.536192	10.555929	631.163377	0.001908	4.0
133	-0.503214	11.555929	611.776329	0.002085	4.8
134	-0.546671	11.126149	619.960603	0.002654	5.4
135	-0.524223	12.126149	601.245460	0.001390	4.2
136	-0.515159	11.717289	608.759085	0.002181	4.0
137	-0.511773	11.287537	616.861754	0.002609	4.4
138	-0.534624	12.287537	598.330441	0.001669	5.5
139	-0.517970	11.857765	606.156470	0.002547	4.7
140	-0.530916	12.855211	588.297809	0.002784	4.1
141	-0.530451	13.855211	571.419478	0.002501	4.0
142	-0.539012	14.855211	555.482618	0.002405	5.7
143	-0.499731	15.855211	540.410594	0.001781	4.6
144	-0.515483	15.425431	546.786844	0.002308	4.0
145	-0.530553	14.995651	553.315355	0.001843	4.1
146	-0.489451	14.565872	560.001646	0.001690	5.7
147	-0.532298	14.137626	566.826758	0.001407	4.5
148	-0.506064	13.707846	573.845653	0.001768	4.4
149	-0.525282	14.665275	558.440853	0.001845	5.1
150	-0.540147	15.613355	543.980382	0.001820	9.4
151	-0.522494	16.613200	529.520137	0.002465	7.3
152	-0.522561	17.613200	515.806688	0.002094	3.9
153	-0.528402	18.613200	502.785607	0.001450	5.0
154	-0.521621	19.283565	494.418666	0.001466	4.6
155	-0.508147	20.282111	482.459504	0.001837	4.0
156	-0.510376	19.852800	487.529531	0.001441	4.0
157	-0.497041	20.852790	475.880983	0.001120	16.1
158	-0.526254	20.544723	479.409779	0.001299	7.5
159	-0.513264	20.115086	484.419439	0.001682	6.3
160	-0.514961	20.051675	485.167695	0.002740	3.9
161	-0.534784	21.051675	473.630286	0.001736	3.8
162	-0.536483	20.621923	478.520575	0.001612	4.7
163	-0.541503	21.621732	467.295569	0.002078	7.5
164	-0.538639	22.343435	459.514729	0.001684	9.7
165	-0.493713	21.913655	464.116766	0.001610	11.7
166	-0.534223	22.912684	453.557947	0.001113	6.9
167	-0.553330	22.556122	457.270891	0.002174	4.8
168	-0.523077	23.555827	447.011039	0.001800	5.7
169	-0.535782	24.321343	439.460647	0.001699	4.2
170	-0.538926	23.891563	443.667927	0.001911	4.2
171	-0.535899	23.461785	447.956524	0.001963	9.3
172	-0.515391	24.461785	438.103054	0.001855	6.1
173	-0.526308	25.461785	428.673734	0.003304	6.4
174	-0.532137	25.032005	432.676066	0.001406	7.5
175	-0.522002	24.602225	436.753838	0.001791	4.1
176	-0.521490	24.396629	438.731842	0.002489	4.0
177	-0.526482	23.966849	442.925112	0.001495	4.6
178	-0.522327	24.966849	433.289361	0.001622	5.5
179	-0.542651	24.846294	434.428716	0.002615	4.3
180	-0.527571	24.416514	438.539745	0.001332	5.3
181	-0.519928	25.415513	429.101080	0.001749	5.5
182	-0.539397	26.089589	422.958596	0.002092	6.9
183	-0.515079	25.659811	426.854427	0.002309	5.9
184	-0.526396	26.659811	417.898150	0.001787	4.6
185	-0.526108	27.659810	409.309998	0.001292	5.4
186	-0.559883	28.622741	401.367326	0.001769	4.2
187	-0.525671	28.192961	404.873914	0.001750	4.1
188	-0.495871	27.763181	408.442317	0.001512	4.0
189	-0.529381	28.763177	400.234628	0.001808	6.8
190	-0.550346	28.333397	403.721370	0.002065	5.6
191	-0.516120	29.324098	395.773549	0.001310	6.5
192	-0.531742	28.894594	399.180453	0.001660	9.3
193	-0.514548	28.464814	402.648771	0.001592	4.2
194	-0.530287	28.035034	406.177888	0.002986	3.9
195	-0.555036	29.035034	398.060019	0.001156	4.5
196	-0.540970	30.034566	390.263857	0.002740	5.3
197	-0.510800	29.604786	393.578317	0.001485	6.1
198	-0.507761	29.175006	396.949559	0.001786	6.9
199	-0.497104	30.143574	389.432049	0.001326	7.0
200	-0.517109	30.650011	385.613597	0.001949	7.4
201	-0.522153	30.749243	384.874161	0.001765	4.8
202	-0.534377	31.749243	377.577864	0.001771	5.3
203	-0.497789	31.319471	380.679436	0.001821	4.1
204	-0.519999	30.889751	383.831992	0.002238	4.1
205	-0.540011	30.459971	387.037655	0.001670	3.8
206	-0.496263	30.030192	390.297313	0.001633	5.9
207	-0.516570	29.644410	393.270383	0.001634	7.8
208	-0.508092	30.641119	385.679996	0.002136	7.2
209	-0.518716	31.641119	378.353404	0.001312	6.7
210	-0.546312	31.211339	381.467837	0.002329	4.9
211	-0.529800	30.781560	384.633964	0.001541	4.1
212	-0.510052	30.351780	387.853092	0.001535	6.0
213	-0.554887	31.348826	380.465969	0.001708	5.4
214	-0.568317	32.348791	373.334544	0.001745	5.2
215	-0.549506	33.346546	366.480453	0.001857	9.1
216	-0.551637	34.346495	359.859224	0.001888	12.1
217	-0.522555	35.344262	353.486692	0.002019	4.3
218	-0.518166	36.344262	347.322402	0.002026	5.2
219	-0.566602	37.344262	341.369419	0.001643	4.4
220	-0.506089	38.344262	335.617061	0.001109	4.0
221	-0.539990	39.344207	330.055654	0.001764	4.1
222	-0.521895	38.914767	332.421331	0.001739	9.3
223	-0.537016	39.905469	327.014092	0.001252	8.6
224	-0.534995	39.479852	329.315401	0.002012	7.8
225	-0.498572	39.070607	331.558936	0.001446	4.4
226	-0.528735	39.875515	327.175003	0.001440	4.1
227	-0.520465	39.445817	329.500827	0.001789	3.9
228	-0.500990	39.016037	331.860410	0.001768	5.4
229	-0.554227	40.015920	326.422134	0.001735	4.7
230	-0.543634	41.015919	321.158613	0.001806	4.8
231	-0.538386	40.586139	323.399824	0.001693	4.2
232	-0.533101	40.157533	325.666288	0.002040	4.5
233	-0.540480	39.727753	327.971080	0.001867	7.0
234	-0.532305	39.298163	330.307687	0.001515	4.9
235	-0.507541	40.298163	324.919146	0.001465	3.9
236	-0.542408	41.298143	319.703696	0.002236	4.0
237	-0.532803	42.298143	314.652936	0.001775	5.5
238	-0.503910	42.574739	313.283969	0.001557	4.6
239	-0.538211	42.329718	314.496057	0.001772	4.0
240	-0.505024	41.900769	316.640750	0.001517	5.7
241	-0.554740	41.470998	318.819089	0.000933	7.7
242	-0.514480	42.419453	314.051064	0.001903	5.8
243	-0.526366	43.380231	309.364326	0.001293	6.3
244	-0.555582	44.380230	304.632555	0.001533	4.8
245	-0.508941	45.368975	300.094235	0.001568	4.0
246	-0.538751	46.368788	295.640565	0.001960	4.0
247	-0.538869	46.356007	295.696666	0.002049	6.0
248	-0.545872	47.356007	291.370833	0.001420	5.2
249	-0.531665	48.276892	287.497692	0.001322	5.0
250	-0.537456	47.847130	289.292331	0.001866	9.9
251	-0.542328	47.418381	291.105201	0.001903	4.5
252	-0.522959	46.988773	292.944639	0.001634	6.6
253	-0.549713	47.988766	288.698403	0.001462	3.9
254	-0.510148	48.988766	284.573478	0.001273	5.3
255	-0.553925	49.413225	282.858038	0.001692	4.7
256	-0.544640	50.412379	278.900479	0.002066	3.9
257	-0.529243	51.302511	275.466874	0.001899	3.9
258	-0.517179	50.872787	277.113878	0.000990	4.6
259	-0.541450	51.503839	274.701960	0.001173	5.2
260	-0.539059	51.087895	276.286976	0.001096	3.8
261	-0.527230	52.062236	272.602478	0.001514	4.4
262	-0.547334	52.599353	270.613067	0.001770	5.9
263	-0.513512	52.169573	272.202580	0.001475	5.4
264	-0.534923	51.740077	273.809809	0.001340	3.8
265	-0.551035	52.725877	270.148656	0.001852	3.8
266	-0.529960	53.725875	266.533468	0.001571	4.3
267	-0.519931	54.663497	263.230585	0.001595	5.3
268	-0.516452	55.634812	259.894244	0.002143	5.0
269	-0.528770	56.634809	256.546605	0.001839	4.0
270	-0.525135	57.634809	253.284098	0.001183	4.1
271	-0.539141	58.634591	250.104211	0.001438	5.1
272	-0.547358	58.204893	251.461065	0.001421	5.1
273	-0.525708	57.785887	252.798407	0.001596	4.8
274	-0.518881	57.510021	253.686682	0.001536	3.9
275	-0.538317	57.082729	255.074929	0.001115	4.1
276	-0.539000	57.449861	253.881223	0.001512	5.1
277	-0.521483	58.448203	250.690965	0.001670	4.3
278	-0.504442	58.018423	252.054469	0.001645	3.8
279	-0.540699	57.590945	253.425462	0.001087	4.4
280	-0.546628	57.812050	252.714485	0.002011	5.3
281	-0.524879	57.611142	253.360353	0.001460	4.1
282	-0.557828	57.260584	254.495246	0.001725	4.5
283	-0.535487	56.962765	255.467422	0.001615	4.7
284	-0.512241	56.552689	256.818260	0.001443	6.6
285	-0.540400	56.122910	258.249419	0.001559	4.7
286	-0.517999	55.698656	259.677910	0.001307	4.1
287	-0.498674	56.698422	256.336566	0.001566	5.6
288	-0.528857	57.697719	253.081625	0.001857	4.4
289	-0.515552	58.697719	249.906106	0.002154	3.9
290	-0.498815	58.267939	251.261063	0.001875	3.9
291	-0.526033	57.838161	252.630787	0.001877	4.5
292	-0.538547	58.838147	249.466543	0.002049	6.0
293	-0.530368	59.838147	246.380543	0.001430	4.8
294	-0.528611	60.838144	243.369969	0.002180	5.1
295	-0.547860	61.834058	240.443934	0.002093	4.7
296	-0.524423	61.404278	241.697970	0.001949	5.2
297	-0.536833	60.974498	242.965156	0.001683	4.1
298	-0.531384	60.544718	244.245700	0.001768	4.0
299	-0.543504	60.114948	245.539783	0.001706	4.1
300	-0.542765	61.111431	242.559976	0.001305	7.4
301	-0.516813	61.861986	240.362894	0.001527	5.6
302	-0.513354	61.433465	241.612391	0.002062	6.1
303	-0.521450	62.433465	238.716522	0.001235	7.2
304	-0.532125	63.433456	235.889275	0.001851	4.4
305	-0.511460	64.219799	233.712668	0.001668	4.4
306	-0.528823	63.790454	234.896097	0.001408	5.0
307	-0.523479	63.364992	236.080702	0.001360	5.8
308	-0.524766	64.294943	233.506770	0.001660	4.1
309	-0.502657	63.865163	234.689310	0.001949	4.7
310	-0.523446	63.435383	235.883889	0.001833	6.0
311	-0.536131	63.005604	237.090692	0.002211	5.1
312	-0.502078	64.005604	234.301573	0.002397	4.9
313	-0.544695	63.575824	235.492199	0.002259	4.6
314	-0.515158	63.146044	236.694986	0.002681	5.2
315	-0.519272	64.146044	233.915116	0.001940	4.5
316	-0.500720	63.716264	235.101807	0.002273	4.2
317	-0.501457	64.716264	232.359016	0.001225	4.0
318	-0.521805	65.716264	229.679483	0.002127	4.2
319	-0.546433	66.651714	227.228261	0.001181	6.4
320	-0.481820	67.651610	224.665370	0.001717	5.1
321	-0.545661	68.581366	222.333590	0.001936	5.0
322	-0.517924	69.576191	219.891635	0.001382	7.1
323	-0.510491	70.576191	217.490447	0.001662	4.3
324	-0.566704	70.147022	218.514509	0.001462	3.9
325	-0.563924	69.717259	219.549697	0.001402	3.8
326	-0.537581	70.700539	217.195525	0.001758	5.4
327	-0.542127	71.699446	214.855078	0.001135	4.5
328	-0.524943	71.828040	214.557439	0.001595	4.2
329	-0.534945	71.398284	215.555373	0.002013	4.3
330	-0.499240	70.968609	216.562443	0.001854	5.5
331	-0.564113	70.538829	217.579216	0.001552	4.9
332	-0.522355	71.233955	215.939419	0.002217	4.9
333	-0.541781	72.223752	213.646696	0.001481	4.1
334	-0.531259	72.728029	212.497231	0.001710	5.2
335	-0.547310	73.659480	210.406254	0.002085	4.3
336	-0.529117	74.659478	208.206726	0.001866	3.9
337	-0.547686	74.229698	209.146381	0.002088	3.8
338	-0.525321	73.799919	210.094552	0.002221	4.8
339	-0.534723	73.370140	211.051364	0.002426	5.9
340	-0.516620	72.940360	212.016930	0.002117	4.3
341	-0.519016	73.940360	209.783771	0.001549	5.5
342	-0.524299	73.510839	210.737170	0.002069	5.8
343	-0.507813	73.081310	211.699290	0.001824	5.1
344	-0.544265	72.651975	212.669798	0.001896	4.4
345	-0.489888	73.651975	210.422937	0.002100	3.9
346	-0.532258	73.872542	209.933730	0.001395	5.2
347	-0.529051	73.443463	210.887509	0.001996	5.1
348	-0.521626	73.013686	211.851565	0.001625	4.1
349	-0.554320	74.013686	209.621871	0.001125	4.9
350	-0.480641	75.013452	207.439128	0.001496	5.7
351	-0.549158	75.863785	205.618093	0.002152	4.8
352	-0.516046	75.439853	206.521951	0.002544	5.0
353	-0.525340	75.010525	207.445451	0.002379	4.1
354	-0.534015	74.735601	208.041173	0.001760	5.3
355	-0.521131	74.305821	208.979331	0.001751	4.4
356	-0.534420	74.138157	209.347618	0.001743	4.0
357	-0.565288	75.138157	207.170048	0.001981	4.0
358	-0.532705	76.137988	205.037668	0.001667	4.8
359	-0.525087	75.708236	205.948817	0.001682	5.4
360	-0.552869	76.667538	203.925961	0.001260	4.1
361	-0.543150	76.238074	204.826626	0.002218	5.2
362	-0.550120	76.192008	204.923707	0.001183	5.1
363	-0.518806	75.762818	205.832644	0.001518	5.2
364	-0.528494	75.383702	206.642267	0.002710	3.8
365	-0.536595	76.383702	204.520328	0.001630	3.9
366	-0.521368	75.953922	205.426931	0.001407	4.4
367	-0.543154	76.953751	203.330106	0.002090	5.2
368	-0.512705	77.953751	201.275307	0.002595	4.0
369	-0.555480	78.953751	199.261623	0.001422	6.0
370	-0.516495	78.525317	200.119400	0.001474	8.2
371	-0.536748	79.524659	198.129960	0.001552	9.1
372	-0.532825	80.524658	196.178416	0.001484	4.3
373	-0.557404	81.353598	194.589609	0.001700	5.5
374	-0.504158	82.353597	192.706855	0.002034	4.7
375	-0.540278	83.277852	190.998819	0.002152	4.2
376	-0.519245	82.848073	191.789276	0.002640	4.1
377	-0.514529	82.418293	192.586303	0.001771	9.7
378	-0.530431	81.989239	193.388618	0.002032	5.1
379	-0.555464	81.559459	194.199021	0.001867	4.1
380	-0.543843	81.147898	194.981464	0.001610	4.9
381	-0.558026	82.147870	193.091206	0.001530	5.1
382	-0.526116	81.718090	193.899114	0.001152	4.0
383	-0.515388	81.421272	194.461037	0.002347	3.9
384	-0.532215	80.992358	195.278814	0.002402	4.9
385	-0.550702	80.562582	196.105163	0.003072	5.2
386	-0.524838	81.562582	194.193110	0.001337	4.1
387	-0.551416	82.562582	192.317982	0.001796	4.0
388	-0.561760	82.132802	193.119418	0.001505	4.0
389	-0.539153	81.703139	193.927341	0.001446	5.1
390	-0.564286	81.273359	194.742275	0.002753	8.6
391	-0.542003	82.273359	192.856578	0.001536	6.9
392	-0.535611	83.273359	191.007049	0.001937	8.5
393	-0.520884	84.183718	189.353895	0.001767	6.7
394	-0.538851	83.814276	190.021317	0.001332	10.6
395	-0.531713	84.151541	189.411838	0.001668	4.5
396	-0.558863	83.721872	190.188986	0.002028	8.0
397	-0.528957	83.292092	190.972740	0.001343	12.4
398	-0.522828	82.862315	191.762977	0.002123	9.4
399	-0.549485	83.862315	189.934265	0.001791	11.4
400	-0.545871	83.432535	190.715917	0.001577	8.6
401	-0.537989	83.002755	191.504030	0.001293	11.6
402	-0.500510	83.413583	190.750534	0.001560	4.8
403	-0.534915	84.413578	188.940999	0.002119	5.3
404	-0.528740	83.983801	189.714475	0.001996	4.2
405	-0.527205	84.983801	187.924442	0.001583	4.0
406	-0.525446	84.554021	188.689606	0.001612	4.1
407	-0.538578	85.185238	187.567943	0.001484	4.5
408	-0.537046	85.514911	186.987404	0.002138	5.4
409	-0.550804	85.085137	187.744930	0.002134	4.3
410	-0.533427	84.655357	188.508630	0.001502	4.4
411	-0.521451	85.655280	186.741309	0.001643	6.2
412	-0.501866	86.654501	185.008026	0.001795	4.8
413	-0.531174	86.224728	185.749566	0.001697	4.3
414	-0.493431	87.224728	184.033234	0.002005	4.0
415	-0.519990	88.224693	182.348387	0.001724	5.4
416	-0.512560	89.224693	180.694054	0.001345	4.3
417	-0.552242	90.088751	179.288601	0.002277	4.6
418	-0.525110	89.658971	179.984926	0.002383	8.5
419	-0.499040	90.658971	178.373009	0.001827	6.3
420	-0.521553	90.229191	179.062227	0.001801	4.7
421	-0.517074	90.410624	178.770622	0.001837	4.0
422	-0.514741	91.410530	177.180435	0.001771	5.2
423	-0.527464	92.410530	175.618143	0.001077	5.0
424	-0.535872	92.187439	175.964284	0.001990	4.1
425	-0.526287	91.758504	176.633654	0.001259	3.9
426	-0.524223	91.328793	177.309363	0.001365	4.6
427	-0.497479	90.899042	177.990324	0.001374	5.1
428	-0.495155	90.469262	178.676582	0.002384	4.7
429	-0.529768	91.360829	177.258809	0.001504	4.5
430	-0.498287	92.360829	175.695140	0.001497	9.6
431	-0.547734	91.938063	176.352827	0.001339	4.4
432	-0.508965	92.938032	174.805078	0.002675	4.0
433	-0.522859	93.527612	173.905194	0.002437	4.1
434	-0.516279	93.097832	174.560255	0.001692	5.5
435	-0.532566	92.668052	175.220268	0.001936	4.4
436	-0.541875	93.658378	173.706859	0.001821	4.2
437	-0.522029	94.658367	172.204978	0.001764	4.2
438	-0.525124	95.658366	170.728832	0.001324	5.5
439	-0.540637	95.228847	171.359755	0.001436	6.4
440	-0.510916	94.799954	171.994427	0.002664	5.2
441	-0.536877	95.708383	170.655665	0.001241	3.9
442	-0.526135	96.708382	169.205848	0.001834	4.5
443	-0.524374	96.491827	169.517720	0.002076	5.4
444	-0.553289	96.062047	170.140085	0.001642	3.8
445	-0.521401	97.062042	168.698986	0.001879	4.0
446	-0.540985	96.632592	169.314866	0.002162	5.2
447	-0.516060	97.632592	167.887646	0.001796	6.4
448	-0.546449	98.632424	166.484519	0.001354	4.2
449	-0.519405	99.627287	165.111454	0.001562	5.2
450	-0.522739	100.611259	163.775516	0.001500	6.8
451	-0.533675	100.560798	163.843501	0.001237	4.0
452	-0.542712	100.131532	164.424130	0.001230	3.9
453	-0.558716	100.993015	163.263009	0.001542	4.3
454	-0.525750	100.564018	163.839160	0.001406	5.4
455	-0.531630	101.564018	162.502396	0.001428	4.7
456	-0.557942	101.138236	163.068891	0.001733	4.0
457	-0.548472	102.138236	161.744616	0.002210	4.0
458	-0.528575	101.708456	162.311118	0.001387	5.3
459	-0.534243	101.278676	162.881602	0.001281	4.9
460	-0.528739	102.274748	161.565502	0.001349	5.0
461	-0.535226	103.124186	160.459837	0.001628	4.1
462	-0.542794	104.017060	159.313830	0.001593	4.7
463	-0.529032	105.015350	158.051750	0.001836	5.1
464	-0.543899	106.015350	156.807399	0.001698	4.3
465	-0.539656	107.015293	155.582557	0.002355	4.0
466	-0.536863	108.015293	154.376633	0.001997	4.3
467	-0.524174	107.585514	154.892617	0.001631	8.5
