1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.123806	0.000000	0.684825	0.022999	1343.9
1	-0.116923	0.000000	0.684825	0.021679	4.0
2	-0.130529	0.000000	0.684825	0.036573	4.9
3	-0.126627	0.000000	0.684825	0.014476	4.2
4	-0.124295	0.000000	0.684825	0.021751	3.6
5	-0.111078	0.176152	0.679128	0.025878	3.7
6	-0.124835	0.974279	0.654462	0.023666	4.4
7	-0.127236	0.983852	0.654177	0.037931	4.9
8	-0.131975	0.852574	0.658107	0.020626	3.7
9	-0.129262	1.852497	0.629311	0.015484	4.5
10	-0.119169	2.775908	0.604870	0.014458	5.1
11	-0.136156	3.067106	0.597551	0.015659	5.7
12	-0.128779	3.034349	0.598366	0.029254	4.6
13	-0.112278	3.960407	0.576166	0.030323	3.6
14	-0.114881	4.960375	0.553972	0.038713	3.7
15	-0.119879	5.960372	0.533425	0.024333	4.8
16	-0.132305	4.974198	0.553677	0.023514	4.5
17	-0.126499	5.164556	0.549649	0.017565	3.7
18	-0.133573	4.198432	0.570723	0.040283	3.6
19	-0.130879	5.143450	0.550093	0.023612	3.6
20	-0.122853	6.143439	0.529827	0.035968	5.4
21	-0.117799	5.301550	0.546786	0.015189	5.6
22	-0.120891	4.403334	0.566120	0.032711	4.1
23	-0.110157	3.681514	0.582676	0.018343	3.8
24	-0.143358	4.678729	0.560048	0.042909	4.7
25	-0.118978	5.678662	0.539057	0.052253	4.2
26	-0.135108	4.692202	0.559755	0.016861	3.6
27	-0.119833	4.074722	0.573539	0.018236	3.8
28	-0.118757	4.942653	0.554351	0.040131	3.6
29	-0.126289	5.939780	0.533832	0.043336	4.7
30	-0.128260	6.939779	0.514726	0.037821	4.4
31	-0.112066	5.953319	0.533564	0.020711	5.2
32	-0.123230	6.943498	0.514657	0.028550	5.2
33	-0.114042	6.453921	0.523835	0.044680	4.6
34	-0.145648	5.467580	0.543356	0.021234	4.9
35	-0.128113	6.465129	0.523621	0.014625	3.9
36	-0.137406	7.416304	0.506094	0.020711	3.7
37	-0.125135	8.366056	0.489726	0.026027	4.2
38	-0.117984	9.255771	0.475325	0.022508	5.0
39	-0.107911	8.271585	0.491307	0.054787	3.8
40	-0.122832	7.285176	0.508440	0.033605	3.7
41	-0.123204	6.299076	0.526806	0.018259	3.6
42	-0.129199	6.724781	0.518717	0.038148	5.9
43	-0.138602	5.964279	0.533347	0.030196	4.5
44	-0.129178	6.952643	0.514489	0.018626	4.4
45	-0.111825	5.989955	0.532840	0.026403	3.7
46	-0.112860	6.985314	0.513888	0.027447	4.4
47	-0.130921	5.998997	0.532662	0.050072	5.0
48	-0.101662	5.039096	0.552298	0.016141	3.7
49	-0.120409	4.053403	0.574027	0.033006	3.7
50	-0.120205	4.993214	0.553272	0.035146	3.7
51	-0.127232	5.992824	0.532783	0.009319	4.8
52	-0.137017	5.043980	0.552194	0.026665	4.4
53	-0.139413	4.439801	0.565308	0.029241	4.5
54	-0.125963	3.453707	0.588104	0.031954	5.1
55	-0.134251	4.453615	0.565001	0.037929	5.7
56	-0.128615	3.467156	0.587781	0.028786	5.0
57	-0.127704	4.467016	0.564704	0.032617	3.9
58	-0.123982	5.465846	0.543392	0.034523	3.6
59	-0.127839	4.524172	0.563440	0.050097	3.6
60	-0.128380	5.524171	0.542197	0.028329	4.8
61	-0.116311	4.537712	0.563141	0.030147	4.4
62	-0.113463	5.537555	0.541924	0.035122	3.7
63	-0.118210	5.380813	0.545143	0.043249	3.6
64	-0.129218	4.394356	0.566320	0.020446	5.0
65	-0.114980	5.377481	0.545212	0.032330	5.8
66	-0.117786	5.217233	0.548545	0.038331	4.1
67	-0.111572	4.231389	0.569978	0.013872	3.6
68	-0.112207	3.823617	0.579341	0.029184	4.4
69	-0.127480	3.005447	0.599086	0.033703	5.0
70	-0.119414	4.005435	0.575128	0.024781	3.7
71	-0.119713	3.019146	0.598744	0.013313	3.6
72	-0.125665	3.768430	0.580631	0.024120	3.6
73	-0.120350	4.644247	0.560801	0.038885	4.2
74	-0.124338	5.625738	0.540129	0.043205	5.0
75	-0.124188	6.625737	0.520577	0.015139	4.2
