1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.345833	0.000000	496.509495	0.011551	7522.5
1	-0.336371	0.000000	496.509495	0.011111	8.3
2	-0.332470	1.000000	473.940882	0.012200	9.6
3	-0.342161	0.020328	496.029351	0.011264	8.1
4	-0.371346	0.000000	496.509495	0.012272	10.3
5	-0.347989	0.999872	473.943642	0.011093	7.8
6	-0.318113	0.020199	496.032374	0.010326	9.8
7	-0.354695	0.000000	496.509495	0.011611	7.9
8	-0.340715	0.000000	496.509495	0.012154	11.1
9	-0.347012	0.000000	496.509495	0.010664	7.7
10	-0.356198	1.000000	473.940882	0.010777	8.8
11	-0.346784	1.820739	456.895774	0.012353	9.1
12	-0.343332	0.841067	477.389655	0.012377	10.2
13	-0.336678	1.841067	456.489166	0.011110	8.4
14	-0.331191	0.863652	476.896509	0.011312	9.1
15	-0.330364	0.991406	474.126086	0.012249	8.9
16	-0.380928	0.015113	496.152435	0.010427	7.7
17	-0.332807	1.015087	473.616094	0.011616	10.1
18	-0.357780	0.035504	495.671470	0.010608	7.7
19	-0.351418	0.000000	496.509495	0.011751	10.3
20	-0.335108	1.000000	473.940882	0.011179	7.8
21	-0.333869	0.046015	495.423920	0.012067	9.6
22	-0.340677	0.000000	496.509495	0.011563	8.2
23	-0.337427	0.999942	473.942121	0.011598	8.0
24	-0.345983	0.020743	496.019552	0.011137	10.1
25	-0.360864	0.000000	496.509495	0.012136	8.0
26	-0.323539	1.000000	473.940882	0.011618	10.4
27	-0.373111	1.992775	453.477200	0.011123	7.6
28	-0.350799	2.992775	434.576643	0.012088	9.7
29	-0.334725	3.992774	417.188557	0.010855	7.8
30	-0.324169	3.013102	434.208764	0.011088	10.4
31	-0.368260	2.252926	448.403764	0.011644	8.1
32	-0.344708	3.252926	429.915118	0.010989	8.9
33	-0.350594	2.273253	448.012112	0.010802	8.7
34	-0.358954	2.712599	439.711363	0.012448	9.1
35	-0.348132	3.651119	422.970628	0.011285	8.6
36	-0.317219	2.677121	440.370240	0.011221	9.8
37	-0.338642	1.697448	459.377602	0.011392	9.2
38	-0.362206	0.721473	480.018066	0.010887	7.8
39	-0.359345	0.000000	496.509495	0.011599	10.7
40	-0.340133	0.000000	496.509495	0.011802	8.1
41	-0.356134	0.000000	496.509495	0.012394	9.6
42	-0.374689	0.000000	496.509495	0.012339	7.7
43	-0.319369	0.000000	496.509495	0.011586	10.0
44	-0.354325	0.835167	477.518641	0.010799	8.4
45	-0.316956	0.000000	496.509495	0.011500	10.2
46	-0.339355	0.985968	474.243353	0.011636	8.9
47	-0.366892	1.721386	458.893641	0.012190	9.7
48	-0.361843	2.720940	439.556759	0.011409	9.1
49	-0.356077	1.741267	458.492452	0.011740	9.7
50	-0.344969	0.761706	479.130598	0.011297	8.6
51	-0.350046	0.000000	496.509495	0.011812	8.0
52	-0.328064	0.999998	473.940922	0.010749	9.9
53	-0.349677	0.020326	496.029394	0.011460	7.8
54	-0.344509	0.000000	496.509495	0.011069	10.4
55	-0.350700	0.999995	473.940997	0.011909	8.2
56	-0.355680	0.020951	496.014636	0.011804	10.5
57	-0.346390	0.000000	496.509495	0.010825	7.9
58	-0.338249	0.000000	496.509495	0.011340	10.1
59	-0.358076	0.678781	480.963359	0.012692	8.1
60	-0.363433	0.000000	496.509495	0.011388	9.8
61	-0.388686	0.000000	496.509495	0.011294	9.1
62	-0.336310	0.951309	474.992150	0.011881	10.0
63	-0.317447	1.951285	454.296985	0.010682	8.2
64	-0.349560	2.951247	435.330133	0.011045	8.3
65	-0.366690	1.971582	453.895572	0.011093	10.0
66	-0.321360	1.011388	473.695679	0.010834	8.8
67	-0.327762	2.011387	453.110427	0.012407	9.1
68	-0.359562	1.031715	473.258642	0.011244	8.8
69	-0.365229	0.062547	495.035061	0.011685	9.3
70	-0.375568	1.062461	472.599106	0.011907	8.7
71	-0.335204	2.062460	452.106998	0.011324	9.7
72	-0.388651	3.057246	433.412011	0.011395	8.2
73	-0.318057	2.077649	451.809436	0.011003	10.6
74	-0.362493	1.097976	471.839561	0.011493	9.3
75	-0.323364	2.081785	451.728475	0.011003	10.9
76	-0.369488	1.102112	471.751266	0.012711	7.8
77	-0.340340	0.122440	493.631396	0.012997	10.2
78	-0.363636	1.122440	471.317791	0.011511	8.6
79	-0.355636	2.122267	450.937597	0.011676	10.3
80	-0.344688	2.209913	449.234747	0.010175	8.1
81	-0.347347	3.209905	430.679067	0.011516	9.0
82	-0.358248	2.230372	448.839098	0.010796	9.4
83	-0.351338	1.258542	468.435862	0.011897	9.0
84	-0.359065	2.187956	449.660131	0.011076	8.9
85	-0.339337	1.208284	469.495955	0.011289	8.0
86	-0.369836	0.976925	474.438494	0.013221	10.3
87	-0.329971	0.043503	495.483069	0.011195	8.1
88	-0.357197	0.000000	496.509495	0.011038	10.5
89	-0.324245	1.000000	473.940887	0.011695	8.0
90	-0.360299	0.025657	495.903611	0.012003	10.1
91	-0.361515	0.000000	496.509495	0.011432	8.0
92	-0.338788	0.000000	496.509495	0.011328	10.7
93	-0.342315	0.999776	473.945697	0.011667	8.1
94	-0.358122	0.388906	487.481653	0.011593	9.3
95	-0.361496	0.000000	496.509495	0.011929	8.9
96	-0.335848	0.999998	473.940927	0.012418	7.8
97	-0.317876	0.023133	495.963156	0.011566	10.4
98	-0.318326	0.000000	496.509495	0.010603	8.7
99	-0.329745	0.995255	474.043122	0.011773	9.4
100	-0.348620	1.439685	464.654437	0.011438	8.0
101	-0.359290	1.222278	469.200300	0.011782	10.3
102	-0.359964	0.242605	490.839012	0.012423	7.8
103	-0.329445	1.242605	468.771498	0.011478	10.3
104	-0.347782	0.289667	489.753983	0.010998	8.2
105	-0.366499	1.289667	467.781741	0.010432	10.1
106	-0.373420	1.157319	470.575853	0.012357	7.8
107	-0.336991	1.870794	455.895811	0.011502	8.8
108	-0.360954	2.870791	436.797405	0.011766	8.8
109	-0.330228	2.063035	452.095720	0.010751	8.9
110	-0.368877	1.083374	472.151554	0.010836	9.0
111	-0.338409	0.104380	494.053814	0.010755	8.1
112	-0.312332	1.015155	473.614619	0.012480	10.3
113	-0.398117	0.035483	495.671978	0.012065	8.6
114	-0.389724	0.000000	496.509495	0.011471	9.5
115	-0.355171	0.000000	496.509495	0.011676	7.7
116	-0.358159	0.000000	496.509495	0.010508	10.4
117	-0.339855	0.698679	480.522306	0.010013	8.4
118	-0.381536	0.000000	496.509495	0.013321	9.4
119	-0.366045	0.999872	473.943641	0.012633	8.4
120	-0.348696	0.020199	496.032372	0.011515	11.3
121	-0.312332	0.000000	496.509495	0.010175	8.1
122	-0.353182	0.000000	496.509495	0.010876	9.1
123	-0.329053	0.000000	496.509495	0.011717	9.3
124	-0.315725	1.000000	473.940884	0.011612	8.1
125	-0.370693	1.999941	453.335925	0.012800	10.0
126	-0.337652	2.999266	434.459091	0.011287	7.9
127	-0.338737	3.998936	417.085720	0.011008	9.4
128	-0.376438	4.998465	401.050581	0.011038	7.8
129	-0.357869	5.843427	388.426541	0.011426	10.0
130	-0.331704	6.423189	380.214696	0.011119	8.3
131	-0.365554	7.389425	367.274060	0.011869	10.6
132	-0.369626	8.389425	354.777251	0.011943	7.8
133	-0.356658	7.409752	367.011272	0.010918	9.7
134	-0.333866	8.384775	354.833392	0.012267	8.0
135	-0.334571	8.336638	355.415621	0.011860	9.9
136	-0.352713	7.356975	367.694343	0.011420	8.2
137	-0.359204	8.312134	355.712741	0.011398	8.2
138	-0.359192	7.332461	368.012483	0.012284	10.3
139	-0.316628	7.827573	361.691893	0.011351	8.1
140	-0.350902	6.867712	374.149815	0.011172	9.7
141	-0.329205	6.212086	383.164281	0.010869	8.2
142	-0.326178	7.212086	369.582716	0.012116	9.5
143	-0.360737	6.232414	382.878269	0.012101	9.2
144	-0.340615	5.252741	397.166122	0.012205	10.0
145	-0.345966	4.273069	412.561670	0.011503	7.9
146	-0.365870	3.302694	429.034717	0.011551	9.0
147	-0.355133	2.323078	447.055040	0.011376	9.1
148	-0.356216	3.322881	428.678628	0.011479	9.6
149	-0.346767	2.397215	445.638478	0.010692	8.5
150	-0.361958	3.397215	427.372521	0.011710	9.3
151	-0.334446	4.395981	410.564942	0.010511	9.1
152	-0.331897	5.210114	397.812063	0.012085	8.6
153	-0.348647	6.209485	383.200906	0.011806	9.7
154	-0.337908	5.314528	396.233568	0.011376	9.0
155	-0.317573	6.309541	381.796954	0.011583	9.4
156	-0.346031	7.309506	368.310891	0.010714	8.3
157	-0.376764	6.330020	381.510854	0.012184	10.1
158	-0.335388	5.350369	395.694623	0.011614	7.7
159	-0.335292	6.350146	381.230117	0.011186	11.0
160	-0.355747	5.370474	395.392943	0.012072	8.2
161	-0.339244	4.398854	410.518506	0.011365	9.8
162	-0.351232	3.419181	426.988087	0.010876	8.0
163	-0.341723	4.419154	410.190656	0.010983	9.8
164	-0.361198	3.439494	426.633186	0.011843	8.0
165	-0.345344	4.439494	409.862681	0.011487	7.7
166	-0.339656	3.633577	423.271832	0.010810	10.0
167	-0.322655	4.633577	406.759435	0.010780	8.4
168	-0.349670	3.653905	422.922839	0.010305	9.7
169	-0.362288	2.723108	439.516585	0.011580	7.9
170	-0.388311	1.743442	458.448601	0.012162	10.8
171	-0.338986	2.742871	439.150738	0.012260	7.7
172	-0.342383	1.763199	458.050713	0.012163	10.1
173	-0.336988	0.783527	478.650658	0.011808	7.9
174	-0.345017	1.773096	457.851636	0.011113	8.6
175	-0.347478	1.054323	472.773495	0.010950	9.3
176	-0.337037	1.992001	453.492482	0.010480	10.3
177	-0.345574	2.992000	434.590663	0.011241	8.0
178	-0.358266	3.990957	417.218894	0.013483	8.1
179	-0.389296	4.938355	401.979974	0.010958	9.7
180	-0.352285	3.967140	417.616892	0.010834	7.8
181	-0.368535	4.967140	401.534378	0.010787	10.3
182	-0.336278	5.360931	395.536087	0.011301	7.7
183	-0.331452	4.381260	410.803061	0.013213	9.0
184	-0.354633	3.409313	427.160703	0.012083	9.1
185	-0.327802	4.409312	410.349540	0.011346	10.1
186	-0.380058	5.408976	394.816490	0.012543	7.8
187	-0.359604	6.408976	380.411848	0.011739	8.3
188	-0.339313	7.408976	367.021297	0.012637	9.5
189	-0.339397	6.429304	380.129930	0.011128	8.0
190	-0.341310	5.461532	394.032346	0.010773	9.7
191	-0.340322	6.461490	379.684404	0.011035	7.9
192	-0.340524	7.461487	366.344158	0.011377	10.1
193	-0.338738	8.286533	356.023691	0.012095	8.1
194	-0.356639	7.416734	366.921100	0.011246	10.6
195	-0.355521	6.484741	379.363202	0.010644	7.8
196	-0.321350	7.484740	366.045092	0.011196	10.8
197	-0.352373	6.505068	379.082846	0.011091	8.0
198	-0.319002	7.495472	365.907232	0.011564	10.1
199	-0.347262	8.492007	353.543232	0.011765	7.9
200	-0.353987	9.096913	346.437501	0.012359	8.1
201	-0.361942	10.096913	335.296926	0.012013	9.3
202	-0.338371	9.117241	346.203675	0.010478	8.7
203	-0.336278	10.117241	335.077892	0.011390	9.2
204	-0.361719	11.052723	325.298400	0.011380	7.9
205	-0.382758	12.052723	315.456597	0.011383	10.2
206	-0.351735	13.052698	306.193044	0.010227	7.9
207	-0.342289	12.073107	315.262168	0.012066	10.7
208	-0.396841	11.170395	324.108530	0.011830	8.0
209	-0.357985	12.170395	314.337512	0.012489	9.8
210	-0.349979	11.190727	323.903820	0.011973	8.3
211	-0.359223	10.211054	334.070720	0.012115	7.9
212	-0.333404	9.231382	344.896553	0.010504	9.9
213	-0.336449	8.251710	356.447523	0.011320	8.6
214	-0.351458	9.121637	346.153142	0.011444	9.2
215	-0.362407	8.142012	357.789280	0.011219	8.2
216	-0.326893	9.142012	345.919161	0.011824	9.5
217	-0.362951	8.162339	357.539885	0.012641	8.1
218	-0.338133	9.161343	345.697453	0.011983	10.0
219	-0.371090	10.161343	334.603661	0.011626	7.9
220	-0.332249	11.161343	324.199753	0.011005	9.2
221	-0.340735	11.897076	316.949120	0.011321	9.0
222	-0.324845	12.885581	307.703131	0.011423	10.1
223	-0.350094	11.917566	316.751830	0.012354	8.0
224	-0.357332	10.937894	326.467970	0.011010	8.4
225	-0.362268	9.958221	336.799044	0.012887	9.8
226	-0.339725	10.912639	326.726333	0.012303	8.3
227	-0.334919	11.912624	316.799400	0.010431	9.5
228	-0.347188	10.932951	326.518503	0.011255	8.1
229	-0.331677	10.457024	331.458547	0.011690	10.2
230	-0.357912	9.477351	342.113043	0.010778	10.1
231	-0.343283	8.497733	353.474602	0.011063	11.3
232	-0.348079	9.497733	341.884410	0.011679	8.4
233	-0.341814	8.518069	353.231078	0.011793	9.4
234	-0.362306	9.518069	341.656588	0.010897	8.1
235	-0.343573	10.518069	330.816565	0.012275	10.0
236	-0.361843	11.518067	320.643272	0.012695	8.6
237	-0.384157	12.518052	311.077133	0.012053	10.5
238	-0.346121	11.550470	320.324085	0.013055	7.9
239	-0.408581	12.549229	310.788051	0.012644	10.3
240	-0.338252	11.602801	319.809931	0.011168	7.9
241	-0.327922	10.623226	329.716504	0.011947	8.7
242	-0.348120	11.222232	323.587129	0.011579	9.3
243	-0.368738	12.220531	313.863118	0.011498	7.9
244	-0.319380	13.220531	304.691340	0.010666	10.2
245	-0.347570	12.287368	313.232914	0.011777	7.9
246	-0.338737	11.307696	322.731135	0.012632	9.8
247	-0.347583	12.286849	313.237806	0.011741	7.9
248	-0.357582	13.284169	304.125776	0.011694	9.9
249	-0.408919	12.304496	313.071825	0.012273	7.8
250	-0.341768	13.304494	303.945584	0.011239	10.8
251	-0.333921	12.324821	312.880879	0.011654	8.7
252	-0.377629	11.400174	321.809978	0.011717	9.7
253	-0.394439	12.399929	312.177292	0.011986	8.1
254	-0.362279	13.395536	303.141066	0.012627	8.6
255	-0.317687	12.415863	312.028431	0.011445	9.1
256	-0.352214	11.436191	321.452647	0.011791	9.5
257	-0.352549	10.787610	328.011425	0.010858	8.3
258	-0.365063	11.787609	318.007316	0.011686	7.9
259	-0.338782	12.762459	308.825233	0.011332	9.9
260	-0.337044	11.782788	318.054080	0.011372	8.4
261	-0.375963	10.805948	327.822312	0.010753	9.5
262	-0.345880	9.826553	338.237607	0.011174	7.9
263	-0.347517	10.826409	327.611558	0.010999	10.9
264	-0.376776	11.765210	318.224711	0.011786	9.0
265	-0.364056	10.891746	326.940377	0.011285	9.3
266	-0.399303	9.912076	337.301812	0.011777	8.2
267	-0.341525	8.932404	348.341531	0.010931	10.7
268	-0.320678	7.979165	359.799854	0.011130	8.3
269	-0.357547	7.646693	363.975680	0.011580	9.8
270	-0.351971	6.667020	376.863839	0.011798	8.2
271	-0.342027	7.667020	363.717595	0.011742	10.0
272	-0.335722	8.667019	351.457598	0.011697	8.3
273	-0.354022	9.667013	339.997230	0.012278	9.4
274	-0.339527	10.667012	329.260597	0.012494	8.8
275	-0.300012	9.687342	339.771991	0.010935	7.8
276	-0.352776	10.687342	329.049350	0.011563	10.0
277	-0.360821	9.721010	339.399626	0.011271	8.7
278	-0.345395	8.754954	350.418944	0.011604	9.4
279	-0.357103	9.754638	339.028522	0.011031	7.8
280	-0.361000	10.754638	328.352018	0.010415	9.1
281	-0.347440	11.754638	318.327421	0.011515	9.1
282	-0.352061	12.754636	308.896814	0.011223	10.3
283	-0.342706	11.777496	318.105429	0.011695	7.8
284	-0.341865	12.646467	309.889877	0.011868	10.2
285	-0.360705	13.646434	300.945822	0.011957	8.0
286	-0.353727	12.666761	309.703074	0.012261	7.8
287	-0.366816	11.689550	318.961244	0.011679	10.3
288	-0.379759	10.709877	328.815509	0.012065	7.8
289	-0.353511	11.709871	318.763088	0.011033	10.4
290	-0.379725	12.709869	309.307032	0.010994	8.0
291	-0.369257	12.398595	312.189762	0.012695	10.0
292	-0.355681	12.444703	311.759363	0.009876	7.7
293	-0.341269	13.444421	302.710836	0.011006	10.5
294	-0.390274	14.414699	294.417284	0.012397	8.1
295	-0.349195	13.442848	302.724660	0.010950	10.2
296	-0.364838	14.420557	294.368586	0.012243	8.4
297	-0.336229	13.440885	302.741913	0.011661	9.6
298	-0.389128	14.440860	294.199953	0.012358	7.8
299	-0.323199	15.440498	286.129445	0.011363	8.2
300	-0.343259	15.966891	282.055079	0.011966	10.1
301	-0.347795	15.222684	287.849995	0.011289	8.1
302	-0.343427	14.866275	290.710404	0.012286	9.5
303	-0.329248	15.445394	286.091008	0.012056	7.9
304	-0.369211	14.465721	293.993722	0.011449	10.3
305	-0.361991	13.486049	302.345431	0.010494	8.2
306	-0.343470	12.506377	311.185525	0.011308	10.4
307	-0.365063	11.572002	320.112330	0.012290	7.8
308	-0.347317	12.567277	310.620950	0.010543	8.8
309	-0.367185	13.566484	301.641888	0.012089	9.9
310	-0.345294	12.586811	310.440290	0.010335	8.7
311	-0.336577	11.607228	319.766508	0.010416	9.4
312	-0.360291	12.607137	310.252532	0.011364	8.2
313	-0.305648	11.627465	319.568177	0.010552	9.8
314	-0.374961	11.839908	317.500870	0.011579	8.2
315	-0.364718	12.821825	308.283168	0.011295	10.1
316	-0.337767	13.814251	299.495155	0.010972	8.2
317	-0.362510	14.814251	291.132698	0.010788	9.9
