1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.282951	0.000000	5.578276	0.014509	2251.1
1	-0.254251	0.000000	5.578276	0.005608	3.8
2	-0.291623	0.000000	5.578276	0.008431	3.8
3	-0.299182	0.000000	5.578276	0.006659	5.2
4	-0.265091	0.000000	5.578276	0.007256	4.4
5	-0.293731	0.000000	5.578276	0.011805	4.1
6	-0.261421	0.068206	5.560217	0.011086	4.0
7	-0.260579	1.068205	5.308261	0.012704	7.3
8	-0.249074	2.067194	5.078372	0.009535	4.8
9	-0.278235	1.106331	5.299106	0.005823	4.1
10	-0.264958	0.147021	5.539494	0.005902	4.2
11	-0.252292	0.281299	5.504542	0.017615	3.9
12	-0.258774	0.000000	5.578276	0.007598	4.8
13	-0.270275	0.000000	5.578276	0.005698	5.2
14	-0.253107	0.000000	5.578276	0.006516	4.3
15	-0.271078	0.000000	5.578276	0.012699	4.6
16	-0.275555	0.999540	5.324829	0.008679	5.2
17	-0.254108	0.040134	5.567635	0.009522	4.2
18	-0.279743	0.000000	5.578276	0.008283	4.0
19	-0.285158	0.000000	5.578276	0.006937	4.1
20	-0.306671	0.000000	5.578276	0.013174	5.5
21	-0.247705	0.999622	5.324809	0.004816	4.6
22	-0.291341	0.044204	5.566559	0.008471	4.0
23	-0.255058	0.000000	5.578276	0.008951	4.0
24	-0.287196	0.000000	5.578276	0.007995	5.7
25	-0.289319	0.000000	5.578276	0.012708	4.7
26	-0.261497	0.000000	5.578276	0.012349	4.2
27	-0.292208	1.000000	5.324718	0.006360	4.2
28	-0.297252	1.996641	5.093952	0.009011	4.9
29	-0.271279	2.922730	4.896757	0.011701	5.6
30	-0.269669	3.151506	4.850372	0.006625	4.2
31	-0.264701	3.473297	4.786596	0.007378	4.4
32	-0.265029	4.454808	4.602030	0.005382	5.2
33	-0.277812	5.428615	4.432461	0.008366	5.5
34	-0.278871	5.337105	4.447861	0.011265	4.0
35	-0.277666	6.025374	4.334585	0.009820	4.1
36	-0.283206	5.064437	4.494392	0.013291	4.8
37	-0.297936	6.010881	4.336911	0.015311	5.4
38	-0.265955	7.010881	4.182082	0.006116	4.1
39	-0.261504	6.049946	4.330648	0.006789	4.2
40	-0.297068	7.022530	4.180343	0.014373	4.3
41	-0.261889	6.439176	4.269217	0.005613	5.4
42	-0.284434	5.478956	4.424034	0.010833	5.2
43	-0.266027	5.415677	4.434631	0.014105	4.6
44	-0.258951	6.415677	4.272876	0.006426	4.2
45	-0.256852	5.455533	4.427951	0.010432	5.1
46	-0.269945	5.133008	4.482599	0.013317	5.5
47	-0.282880	5.886093	4.357040	0.011217	4.2
48	-0.275088	4.925153	4.518538	0.008775	4.1
49	-0.276471	3.987799	4.688040	0.008354	5.0
50	-0.260447	4.983094	4.508462	0.012511	5.4
51	-0.293983	4.022171	4.681600	0.008888	4.0
52	-0.269203	3.062382	4.868337	0.010567	4.1
53	-0.272780	4.057125	4.675069	0.013358	5.7
54	-0.257263	5.057119	4.495654	0.015309	5.0
55	-0.255491	4.096179	4.667794	0.006485	4.0
56	-0.273717	5.050447	4.496805	0.014196	4.2
57	-0.264313	5.954044	4.346056	0.008765	4.7
58	-0.248734	4.993105	4.506726	0.011814	5.4
59	-0.271845	4.917625	4.519851	0.012173	5.6
60	-0.258930	5.916572	4.352107	0.008914	4.0
